LavatoryID;Description;City;Street;Number;PostalCode;Country;Longitude;Latitude;isOwnedByWall;isHandicappedAccessible;Price;canBePayedWithCoins;canBePayedInApp;canBePayedWithNFC;hasChangingTable;LabelID;hasUrinal;FID
Wall_5384;Toilette Parkplatz Lieper Bucht (ex. Lieper Bucht/Parkplatz Havelchaussee);Berlin;Havelchaussee (0-24 Uhr);;14193;Deutschland;13,1981666666667;52,4695;1;0;0,00;0;0;0;0;5;0;268
Wall_5385;Toilette Friedenthalpark (Badewiese Halensee) (ex. Halensee/Badewiese);Berlin;Halensee , Halenseestr. (0-24 Uhr);;14193;Deutschland;13,2833333333333;52,4956111111111;1;0;0,00;0;0;0;0;5;0;195
Wall_5386;Toilette Neuer Schildhornweg (Badewiese Teufelssee) (ex. Teufelssee);Berlin;Teufelssee , Schildhornweg (0-24 Uhr);;14193;Deutschland;13,2346944444444;52,4895277777778;1;0;0,00;0;0;0;0;5;0;208
Wall_5387;Toilette Parkplatz Große Steinlake;Berlin;Havelchaussee (0-24 Uhr);;14109;Deutschland;13,1898888888889;52,4545833333333;1;0;0,00;0;0;0;0;5;0;
Wall_5388;Toilette Wasserrettungsstation Heckeshorn/Großer Wannsee;Berlin;Heckeshorn , Uferweg (0-24 Uhr);;14109;Deutschland;13,1650555555556;52,4348055555555;1;0;0,00;0;0;0;0;5;0;253
Wall_5389;Toilette Pfaueninselchaussee (Wasserrettungsstation Jagen 97);Berlin;Uferpromenade (0-24 Uhr);;14109;Deutschland;13,1294166666667;52,4293888888889;1;0;0,00;0;0;0;0;5;0;270
Wall_5390;Toilette Heuweg (Wasserrettungsstation Alter Hof/Jagen 95);Berlin;Uferpromenade (0-24 Uhr);;14109;Deutschland;13,1432222222222;52,4324166666667;1;0;0,00;0;0;0;0;5;0;272
Wall_5391;Toilette Parkplatz Südufer Krumme Lanke;Berlin;Krumme Lanke , Fischerhüttenweg (0-24 Uhr);;14193;Deutschland;13,2288333333333;52,44775;1;0;0,00;0;0;0;0;5;0;251
Wall_5392;Toilette Paul-Ernst-Park (Schlachtensee);Berlin;Schlachtensee , Am Schlachtensee (0-24 Uhr);;14129;Deutschland;13,2154722222222;52,4407777777778;1;0;0,00;0;0;0;0;5;0;256
Wall_5393;Toilette Schönhauser Allee;Berlin;Senefelderplatz , Metzer Str. (0-24 Uhr);;10119;Deutschland;13,4128888888889;52,5324444444444;1;0;0,00;0;0;0;0;4;0;232
